candidate_id,rank,score,reasoning
CAND_0099806,18,0.797,"Highly qualified AI Engineer offering 4.6 years of background, focusing on RAG, Embeddings. Willing to relocate from bhubaneswar, odisha; response rate is 76%. Active developer profile (strong GitHub activity (86.9))."
CAND_0037160,19,0.7913,"Highly qualified Data Scientist offering 6.0 years of background, focusing on LLMs, Vector Search, Embeddings. Located in mumbai, maharashtra; response rate is 74%."
CAND_0071264,20,0.7875,"Highly qualified Operations Manager offering 3.2 years of background, focusing on RAG, LLMs, Embeddings. Willing to relocate from kolkata, west bengal; response rate is 73%."
CAND_0002336,21,0.7871,"Highly qualified Accountant offering 8.7 years of background, focusing on RAG, Embeddings, Vector Search. Based in noida, uttar pradesh; response rate is 56%."
CAND_0080051,22,0.7778,"Highly qualified Data Scientist offering 5.2 years of background, focusing on NLP, PyTorch, LLMs. Located in gurgaon, haryana; response rate is 54%."
CAND_0017960,23,0.7769,"Highly qualified Recommendation Systems Engineer offering 7.7 years of background, focusing on applied ML. Willing to relocate from bangalore, karnataka; response rate is 72%. Active developer profile (strong GitHub activity (92.4))."
CAND_0073504,24,0.773,"Highly qualified Junior ML Engineer offering 6.6 years of background, focusing on RAG, Vector Search. Located in gurgaon, haryana; response rate is 78%. Active developer profile (strong GitHub activity (61.6))."
CAND_0090977,25,0.7697,"Highly qualified Sales Executive offering 7.7 years of background, focusing on RAG, LLMs, Vector Search. Willing to relocate from ahmedabad, gujarat; response rate is 75%."
CAND_0033179,26,0.7638,"Highly qualified AI Research Engineer offering 6.9 years of background, focusing on PyTorch. Willing to relocate from ahmedabad, gujarat; response rate is 84%."
CAND_0086087,27,0.7629,"Highly qualified Accountant offering 9.4 years of background, focusing on LLMs, Embeddings, Vector Search. Willing to relocate from chennai, tamil nadu; response rate is 62%."
CAND_0096943,28,0.7616,"Highly qualified HR Manager offering 12.2 years of background, focusing on Vector Search, Embeddings, LLMs. Willing to relocate from delhi, delhi; response rate is 72%."
CAND_0048381,29,0.76,"Highly qualified Accountant offering 3.7 years of background, focusing on Vector Search, Embeddings, LLMs. Located in delhi, delhi; response rate is 78%."
CAND_0068932,30,0.755,"Highly qualified ML Engineer offering 5.2 years of background, focusing on RAG. Based in noida, uttar pradesh; response rate is 82%. Active developer profile (strong GitHub activity (70.5))."
CAND_0033991,31,0.7515,"Solid fit with 7.5 years as Mechanical Engineer, showing competent skills in RAG, LLMs, Vector Search. Located in chennai, tamil nadu with 76% recruiter response rate."
CAND_0085291,32,0.7515,"Solid fit with 9.5 years as Graphic Designer, showing competent skills in Vector Search, LLMs, RAG. Located in delhi, delhi with 74% recruiter response rate."
CAND_0072619,33,0.748,"Solid fit with 11.8 years as Content Writer, showing competent skills in Vector Search, Embeddings, RAG. Willing to relocate from coimbatore, tamil nadu with 51% recruiter response rate."
CAND_0090656,34,0.748,"Solid fit with 5.1 years as Graphic Designer, showing competent skills in RAG, Embeddings, Vector Search. Based in pune, maharashtra with 49% recruiter response rate."
CAND_0005260,35,0.7478,"Solid fit with 5.2 years as Senior NLP Engineer, showing competent skills in NLP, RAG, Embeddings. Willing to relocate from chennai, tamil nadu with 86% recruiter response rate."
CAND_0078492,36,0.745,"Solid fit with 5.1 years as Recommendation Systems Engineer, showing competent skills in LLMs. Willing to relocate from kochi, kerala with 70% recruiter response rate."
CAND_0052328,37,0.7434,"Solid fit with 6.5 years as Recommendation Systems Engineer, showing competent skills in Vector Search. Based in pune, maharashtra with 79% recruiter response rate."
CAND_0004196,38,0.7393,"Solid fit with 7.2 years as HR Manager, showing competent skills in Embeddings, RAG. Willing to relocate from hyderabad, telangana with 75% recruiter response rate."
CAND_0026942,39,0.7392,"Solid fit with 6.0 years as Junior ML Engineer, showing competent skills in applied ML. Willing to relocate from chandigarh, chandigarh with 84% recruiter response rate."
CAND_0052016,40,0.7378,"Solid fit with 5.9 years as Business Analyst, showing competent skills in Vector Search, RAG, LLMs. Willing to relocate from coimbatore, tamil nadu with 71% recruiter response rate."
CAND_0012837,41,0.7344,"Solid fit with 6.4 years as Junior ML Engineer, showing competent skills in Vector Search, LLMs, NLP. Willing to relocate from chandigarh, chandigarh with 81% recruiter response rate."
CAND_0053605,42,0.734,"Solid fit with 6.9 years as Senior Software Engineer (ML), showing competent skills in RAG. Based in noida, uttar pradesh with 88% recruiter response rate."
CAND_0059577,43,0.7319,"Solid fit with 9.8 years as Mechanical Engineer, showing competent skills in RAG, Embeddings, Vector Search. Willing to relocate from indore, madhya pradesh with 75% recruiter response rate."
CAND_0068811,44,0.729,"Solid fit with 8.0 years as Applied ML Engineer, showing competent skills in Vector Search, Embeddings. Based in pune, maharashtra with 42% recruiter response rate."
CAND_0041594,45,0.728,"Solid fit with 4.3 years as Computer Vision Engineer, showing competent skills in Vector Search, NLP. Located in gurgaon, haryana with 79% recruiter response rate."
CAND_0007567,46,0.727,"Solid fit with 6.1 years as AI Specialist, showing competent skills in NLP, LLMs, PyTorch. Willing to relocate from kochi, kerala with 80% recruiter response rate."
CAND_0059795,47,0.7253,"Solid fit with 5.6 years as Senior Software Engineer (ML), showing competent skills in LLMs. Willing to relocate from mumbai, maharashtra with 75% recruiter response rate."
CAND_0000031,48,0.7249,"Solid fit with 6.0 years as Recommendation Systems Engineer, showing competent skills in Embeddings. Willing to relocate from hyderabad, telangana with 91% recruiter response rate."
CAND_0032095,49,0.7242,"Solid fit with 10.5 years as Accountant, showing competent skills in LLMs, Embeddings, RAG. Located in delhi, delhi with 40% recruiter response rate."
CAND_0006324,50,0.724,"Solid fit with 11.4 years as Mechanical Engineer, showing competent skills in LLMs, Vector Search, RAG. Willing to relocate from ahmedabad, gujarat with 76% recruiter response rate."
CAND_0046132,51,0.7213,"Solid fit with 4.3 years as AI Research Engineer, showing competent skills in PyTorch. Based in noida, uttar pradesh with 94% recruiter response rate."
CAND_0027071,52,0.72,"Solid fit with 12.6 years as Accountant, showing competent skills in LLMs, Embeddings, Vector Search. Located in ahmedabad, gujarat with 71% recruiter response rate."
CAND_0061257,53,0.72,"Solid fit with 8.0 years as Staff Machine Learning Engineer, showing competent skills in applied ML. Based in noida, uttar pradesh with 87% recruiter response rate."
CAND_0020781,54,0.7191,"Solid fit with 7.5 years as HR Manager, showing competent skills in RAG, LLMs. Willing to relocate from trivandrum, kerala with 71% recruiter response rate."
CAND_0068351,55,0.7191,"Solid fit with 6.4 years as Lead AI Engineer, showing competent skills in NLP. Located in delhi, delhi with 86% recruiter response rate."
CAND_0051004,56,0.7183,"Solid fit with 4.7 years as Senior Data Scientist, showing competent skills in Embeddings, PyTorch, Vector Search. Willing to relocate from delhi, delhi with 41% recruiter response rate."
CAND_0037566,57,0.7171,"Solid fit with 6.9 years as Machine Learning Engineer, showing competent skills in NLP, LLMs. Willing to relocate from bangalore, karnataka with 50% recruiter response rate."
CAND_0043023,58,0.716,"Solid fit with 4.5 years as Graphic Designer, showing competent skills in LLMs, Vector Search, Embeddings. Willing to relocate from delhi, delhi with 73% recruiter response rate."
CAND_0096655,59,0.7159,"Solid fit with 5.9 years as Junior ML Engineer, showing competent skills in PyTorch, RAG. Willing to relocate from hyderabad, telangana with 80% recruiter response rate."
CAND_0039653,60,0.7137,"Solid fit with 12.0 years as Project Manager, showing competent skills in LLMs, Vector Search, Embeddings. Willing to relocate from vizag, andhra pradesh with 78% recruiter response rate."
CAND_0049836,61,0.7137,"Capable technical profile: 7.7 years of work experience as Marketing Manager. Proficient in RAG, LLMs, Vector Search and located in Chennai, Tamil Nadu."
CAND_0088240,62,0.7127,"Capable technical profile: 7.7 years of work experience as Content Writer. Proficient in LLMs, RAG and willing to relocate from Bangalore, Karnataka."
CAND_0030348,63,0.7107,"Capable technical profile: 4.5 years of work experience as Machine Learning Engineer. Proficient in PyTorch, Embeddings, Vector Search and based in Noida, Uttar Pradesh."
CAND_0091691,64,0.7106,"Capable technical profile: 5.6 years of work experience as Mechanical Engineer. Proficient in Vector Search, Embeddings, RAG and willing to relocate from San Francisco."
CAND_0017093,65,0.71,"Capable technical profile: 5.9 years of work experience as ML Engineer. Proficient in LLMs, Embeddings and willing to relocate from Hyderabad, Telangana."
CAND_0098454,66,0.7092,"Capable technical profile: 6.6 years of work experience as AI Specialist. Proficient in Vector Search, NLP, Embeddings and willing to relocate from Indore, Madhya Pradesh."
CAND_0036121,67,0.7065,"Capable technical profile: 5.2 years of work experience as ML Engineer. Proficient in Embeddings, Vector Search and willing to relocate from Chennai, Tamil Nadu."
CAND_0048558,68,0.706,"Capable technical profile: 6.7 years of work experience as Data Scientist. Proficient in applied ML and based in Noida, Uttar Pradesh."
CAND_0005704,69,0.7035,"Capable technical profile: 3.3 years of work experience as ML Engineer. Proficient in Embeddings and willing to relocate from Bangalore, Karnataka."
CAND_0046459,70,0.7027,"Capable technical profile: 4.5 years of work experience as AI Research Engineer. Proficient in RAG and based in Pune, Maharashtra."
CAND_0062751,71,0.7004,"Capable technical profile: 9.7 years of work experience as Mechanical Engineer. Proficient in Embeddings, RAG and willing to relocate from Delhi, Delhi."
CAND_0015967,72,0.7,"Capable technical profile: 5.4 years of work experience as Senior Software Engineer (ML). Proficient in LLMs, Embeddings and willing to relocate from Hyderabad, Telangana."
CAND_0006418,73,0.6993,"Capable technical profile: 5.7 years of work experience as Machine Learning Engineer. Proficient in Embeddings and willing to relocate from Gurgaon, Haryana."
CAND_0002525,74,0.6984,"Capable technical profile: 7.7 years of work experience as Content Writer. Proficient in RAG, LLMs, Vector Search and located in Gurgaon, Haryana."
CAND_0052195,75,0.6984,"Capable technical profile: 6.3 years of work experience as Computer Vision Engineer. Proficient in NLP and willing to relocate from Kolkata, West Bengal."
CAND_0016317,76,0.6975,"Capable technical profile: 6.5 years of work experience as Project Manager. Proficient in LLMs, RAG, Embeddings and located in Ahmedabad, Gujarat."
CAND_0071939,77,0.6953,"Capable technical profile: 6.4 years of work experience as Data Scientist. Proficient in Embeddings, NLP and based in Pune, Maharashtra."
CAND_0052324,78,0.693,"Capable technical profile: 4.7 years of work experience as HR Manager. Proficient in LLMs, RAG, Vector Search and willing to relocate from Coimbatore, Tamil Nadu."
CAND_0010770,79,0.6925,"Capable technical profile: 15.2 years of work experience as Recommendation Systems Engineer. Proficient in LLMs and willing to relocate from Kolkata, West Bengal."
CAND_0097176,80,0.691,"Capable technical profile: 5.9 years of work experience as ML Engineer. Proficient in PyTorch and located in Gurgaon, Haryana."
CAND_0063431,81,0.6902,"Capable technical profile: 12.3 years of work experience as Business Analyst. Proficient in Vector Search, Embeddings, LLMs and based in Pune, Maharashtra."
CAND_0081480,82,0.6883,"Capable technical profile: 5.6 years of work experience as Computer Vision Engineer. Proficient in Vector Search, PyTorch and based in Noida, Uttar Pradesh."
CAND_0006567,83,0.6837,"Capable technical profile: 7.9 years of work experience as Senior AI Engineer. Proficient in NLP and based in Noida, Uttar Pradesh."
CAND_0042029,84,0.6828,"Capable technical profile: 6.5 years of work experience as Senior Data Scientist. Proficient in PyTorch, NLP, RAG and willing to relocate from Delhi, Delhi."
CAND_0044213,85,0.6824,"Capable technical profile: 3.7 years of work experience as AI Specialist. Proficient in Vector Search and willing to relocate from Bangalore, Karnataka."
CAND_0043384,86,0.6812,"Capable technical profile: 5.2 years of work experience as Computer Vision Engineer. Proficient in LLMs, PyTorch and willing to relocate from Chennai, Tamil Nadu."
CAND_0027691,87,0.6801,"Capable technical profile: 6.5 years of work experience as NLP Engineer. Proficient in Embeddings and based in Pune, Maharashtra."
CAND_0060624,88,0.6799,"Capable technical profile: 6.1 years of work experience as HR Manager. Proficient in RAG, Embeddings, LLMs and located in Gurgaon, Haryana."
CAND_0066395,89,0.6799,"Capable technical profile: 6.7 years of work experience as Sales Executive. Proficient in Vector Search, LLMs, Embeddings and based in Pune, Maharashtra."
CAND_0001819,90,0.6798,"Capable technical profile: 4.4 years of work experience as ML Engineer. Proficient in PyTorch, RAG, NLP and willing to relocate from Coimbatore, Tamil Nadu."
CAND_0033202,91,0.6797,"Capable technical profile: 14.3 years of work experience as Sales Executive. Proficient in Embeddings, Vector Search, LLMs and willing to relocate from Chennai, Tamil Nadu."
CAND_0064888,92,0.6797,"Capable technical profile: 5.8 years of work experience as ML Engineer. Proficient in Embeddings and willing to relocate from Vizag, Andhra Pradesh."
CAND_0086682,93,0.6786,"Capable technical profile: 5.4 years of work experience as Customer Support. Proficient in Vector Search, RAG, LLMs and based in Pune, Maharashtra."
CAND_0052335,94,0.6783,"Capable technical profile: 6.4 years of work experience as Applied ML Engineer. Proficient in PyTorch, NLP and willing to relocate from Berlin."
CAND_0069795,95,0.675,"Capable technical profile: 12.8 years of work experience as Mechanical Engineer. Proficient in LLMs, Vector Search, Embeddings and willing to relocate from Berlin."
CAND_0082216,96,0.6732,"Capable technical profile: 11.8 years of work experience as Customer Support. Proficient in LLMs, Vector Search, RAG and located in Kolkata, West Bengal."
CAND_0009928,97,0.6714,"Capable technical profile: 1.3 years of work experience as Sales Executive. Proficient in RAG, Vector Search, Embeddings and based in Pune, Maharashtra."
CAND_0075010,98,0.6698,"Capable technical profile: 9.4 years of work experience as Operations Manager. Proficient in Embeddings, Vector Search, LLMs and located in Kolkata, West Bengal."
CAND_0072688,99,0.669,"Capable technical profile: 6.9 years of work experience as Data Scientist. Proficient in NLP and based in Pune, Maharashtra."
CAND_0082086,100,0.6672,"Capable technical profile: 6.0 years of work experience as Senior Software Engineer (ML). Proficient in PyTorch and located in Delhi, Delhi."
